City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Batemans Bay,AU,72.99,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
211,Acapulco,MX,74.98,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
212,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
214,Dingle,PH,84.18,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Ranong,TH,89.53,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
220,Pizarro,CO,76.28,moderate rain,4.9533,-77.366,Hotel Limonar
230,Bafoulabe,ML,70.68,few clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
233,Manakara,MG,76.75,light rain,-22.1333,48.0167,La Residence Manakara
234,Salinopolis,BR,78.39,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
235,Kandrian,PG,82.26,light rain,-6.2167,149.55,Kandrian Station
236,Chuy,UY,74.68,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
239,Banjarmasin,ID,78.94,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
242,Bengkulu,ID,84.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Sibolga,ID,86.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
250,Tambura,SS,71.92,scattered clouds,5.6,27.4667,Rikito Lodge
252,Sandakan,MY,76.68,scattered clouds,5.8402,118.1179,Hotel Sandakan
257,Kudahuvadhoo,MV,81.14,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
259,Faanui,PF,81.61,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Luanda,AO,71.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
264,Codrington,AU,84.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
265,Grand Baie,MU,84.67,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
270,Guasdualito,VE,75.2,overcast clouds,7.2424,-70.7324,Hotel Cuibas
271,Vao,NC,76.24,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
272,Kahului,US,75.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
273,Lakes Entrance,AU,82.58,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
275,Auki,SB,76.75,overcast clouds,-8.7676,160.7034,Auki Motel
280,Mathathane,BW,72.63,clear sky,-22.2687,28.7495,Selepswe Resort
